iter	Passed	Remaining
0	135	135029
1	135	67681
2	136	45206
3	136	33965
4	136	27227
5	137	22730
6	137	19519
7	137	17110
8	138	15238
9	138	13738
10	139	12513
11	139	11491
12	140	10629
13	140	9890
14	140	9247
15	141	8683
16	141	8186
17	141	7745
18	142	7350
19	142	6994
20	143	6672
21	144	6439
22	145	6170
23	145	5923
24	146	5694
25	146	5484
26	146	5289
27	147	5108
28	147	4940
29	147	4783
30	148	4636
31	148	4498
32	149	4369
33	149	4247
34	149	4132
35	150	4024
36	150	3922
37	151	3824
38	151	3732
39	151	3644
40	152	3561
41	152	3482
42	153	3406
43	153	3334
44	153	3264
45	154	3198
46	154	3134
47	155	3074
48	155	3016
49	155	2960
50	156	2907
51	156	2855
52	157	2805
53	157	2757
54	157	2711
55	158	2666
56	158	2623
57	158	2581
58	159	2541
59	159	2501
60	160	2464
61	160	2427
62	160	2392
63	161	2358
64	161	2324
65	161	2292
66	162	2261
67	162	2230
68	163	2201
69	163	2172
70	163	2144
71	164	2117
72	164	2090
73	165	2064
74	165	2039
75	165	2015
76	166	1992
77	166	1969
78	166	1946
79	167	1924
80	167	1902
81	168	1882
82	168	1859
83	168	1839
84	169	1820
85	169	1801
86	169	1782
87	170	1764
88	170	1746
89	171	1729
90	171	1712
91	171	1695
92	172	1679
93	172	1663
94	173	1648
95	173	1632
96	173	1617
97	174	1602
98	174	1588
99	174	1574
100	175	1560
101	175	1546
102	176	1533
103	176	1520
104	176	1507
105	177	1494
106	177	1482
107	178	1470
108	178	1458
109	178	1446
110	179	1434
111	179	1423
112	179	1412
113	180	1401
114	180	1390
115	181	1379
116	181	1368
117	181	1358
118	182	1348
119	182	1339
120	182	1329
121	183	1319
122	183	1309
123	184	1300
124	184	1291
125	184	1283
126	185	1273
127	185	1265
128	186	1256
129	186	1248
130	186	1240
131	187	1232
132	187	1224
133	188	1216
134	188	1208
135	189	1200
136	189	1193
137	189	1185
138	190	1178
139	190	1171
140	191	1163
141	191	1155
142	191	1148
143	192	1142
144	192	1135
145	192	1128
146	193	1121
147	193	1115
148	194	1108
149	194	1102
150	194	1096
151	195	1089
152	195	1083
153	196	1077
154	196	1071
155	196	1065
156	197	1059
157	197	1053
158	198	1048
159	198	1042
160	198	1036
161	199	1030
162	199	1025
163	200	1019
164	200	1014
165	200	1009
166	201	1004
167	201	999
168	202	993
169	202	989
170	203	984
171	203	979
172	203	974
173	204	969
174	204	964
175	205	959
176	205	955
177	205	950
178	206	945
179	206	941
180	206	936
181	207	932
182	207	927
183	208	923
184	208	918
185	208	914
186	209	910
187	209	906
188	210	902
189	210	897
190	211	893
191	211	889
192	211	885
193	212	881
194	212	877
195	213	873
196	213	869
197	213	866
198	214	862
199	214	858
200	215	855
201	215	851
202	215	847
203	216	844
204	216	840
205	217	836
206	217	833
207	217	829
208	218	826
209	218	822
210	219	819
211	219	815
212	219	812
213	220	809
214	220	805
215	221	802
216	221	799
217	221	796
218	222	792
219	222	789
220	223	786
221	223	783
222	223	780
223	224	777
224	224	773
225	225	770
226	225	767
227	225	764
228	226	761
229	226	758
230	227	755
231	227	753
232	227	750
233	228	747
234	228	744
235	229	741
236	229	738
237	229	735
238	230	733
239	230	730
240	231	727
241	231	724
242	231	722
243	232	719
244	232	716
245	233	714
246	233	711
247	233	709
248	234	706
249	234	703
250	235	701
251	235	698
252	235	696
253	236	693
254	236	691
255	236	688
256	237	686
257	237	683
258	238	681
259	238	679
260	238	676
261	239	674
262	239	672
263	240	669
264	240	667
265	241	665
266	241	662
267	241	660
268	242	658
269	242	656
270	243	653
271	243	651
272	243	649
273	244	647
274	244	645
275	245	642
276	245	640
277	245	638
278	246	636
279	246	634
280	247	632
281	247	630
282	247	628
283	248	626
284	248	624
285	249	622
286	249	620
287	249	618
288	250	616
289	250	613
290	251	611
291	251	609
292	251	608
293	252	606
294	252	604
295	253	602
296	253	600
297	254	598
298	254	596
299	254	594
300	255	592
301	255	590
302	256	589
303	256	587
304	256	585
305	257	583
306	257	581
307	258	580
308	258	578
309	258	576
310	259	574
311	259	572
312	260	570
313	260	569
314	260	567
315	261	565
316	261	564
317	262	562
318	262	560
319	262	558
320	263	557
321	263	555
322	264	553
323	264	552
324	265	550
325	265	548
326	265	547
327	266	545
328	266	543
329	267	542
330	267	540
331	267	538
332	268	537
333	268	535
334	269	534
335	269	532
336	269	530
337	270	529
338	270	527
339	270	526
340	271	524
341	271	522
342	272	521
343	272	519
344	272	518
345	273	516
346	273	515
347	274	513
348	274	512
349	274	510
350	275	509
351	275	507
352	276	506
353	276	504
354	276	503
355	277	501
356	277	500
357	278	498
358	278	497
359	278	495
360	279	494
361	279	492
362	280	491
363	280	490
364	280	488
365	281	487
366	281	485
367	282	484
368	282	483
369	282	481
370	283	480
371	283	479
372	284	477
373	284	476
374	284	474
375	285	473
376	285	472
377	286	470
378	286	469
379	286	468
380	287	466
381	287	465
382	288	464
383	288	462
384	288	461
385	289	460
386	289	459
387	290	457
388	290	456
389	290	455
390	291	453
391	291	452
392	292	451
393	292	450
394	293	448
395	293	447
396	293	446
397	294	444
398	294	443
399	294	442
400	295	441
401	295	440
402	296	438
403	296	437
404	297	436
405	297	435
406	297	433
407	298	432
408	298	431
409	299	430
410	299	429
411	299	428
412	300	426
413	300	425
414	301	424
415	301	423
416	302	422
417	302	421
418	302	420
419	303	418
420	303	417
421	304	416
422	304	415
423	305	414
424	305	413
425	305	412
426	306	410
427	306	409
428	307	408
429	307	407
430	307	406
431	308	405
432	308	404
433	309	403
434	309	402
435	309	400
436	310	399
437	310	398
438	311	397
439	311	396
440	311	395
441	312	394
442	312	393
443	313	392
444	313	391
445	313	390
446	314	389
447	314	387
448	315	386
449	315	385
450	316	384
451	316	383
452	316	382
453	317	381
454	317	380
455	318	379
456	318	378
457	319	377
458	319	376
459	319	375
460	320	374
461	320	373
462	321	372
463	321	371
464	321	370
465	322	369
466	322	368
467	323	367
468	323	366
469	323	365
470	324	364
471	324	363
472	325	362
473	325	361
474	325	360
475	326	359
476	326	358
477	327	357
478	327	356
479	327	355
480	328	354
481	328	353
482	329	352
483	329	351
484	329	350
485	330	349
486	330	348
487	331	347
488	331	346
489	331	345
490	332	344
491	332	343
492	333	342
493	333	341
494	333	340
495	334	339
496	334	338
497	335	337
498	335	336
499	335	335
500	336	335
501	336	334
502	337	333
503	337	332
504	337	331
505	338	330
506	338	329
507	339	328
508	339	327
509	340	326
510	340	325
511	340	324
512	341	324
513	341	323
514	342	322
515	342	321
516	342	320
517	343	319
518	343	318
519	344	317
520	344	316
521	344	315
522	345	314
523	345	314
524	346	313
525	346	312
526	346	311
527	347	310
528	347	309
529	348	308
530	348	307
531	348	307
532	349	306
533	349	305
534	350	304
535	350	303
536	350	302
537	351	301
538	351	300
539	352	299
540	352	299
541	352	298
542	353	297
543	353	296
544	354	295
545	354	294
546	354	293
547	355	293
548	355	292
549	356	291
550	356	290
551	357	289
552	357	288
553	357	288
554	358	287
555	358	286
556	358	285
557	359	284
558	359	283
559	360	282
560	360	282
561	360	281
562	361	280
563	361	279
564	362	278
565	362	277
566	362	277
567	363	276
568	363	275
569	364	274
570	364	273
571	364	273
572	365	272
573	365	271
574	366	270
575	366	269
576	366	268
577	367	268
578	367	267
579	368	266
580	368	265
581	368	264
582	369	264
583	369	263
584	370	262
585	370	261
586	370	261
587	371	260
588	371	259
589	372	258
590	372	257
591	373	257
592	373	256
593	373	255
594	374	254
595	374	254
596	375	253
597	375	252
598	375	251
599	376	250
600	376	250
601	377	249
602	377	248
603	378	247
604	378	247
605	378	246
606	379	245
607	379	244
608	380	244
609	380	243
610	380	242
611	381	241
612	381	241
613	382	240
614	382	239
615	383	238
616	383	238
617	384	237
618	384	236
619	384	235
620	385	235
621	385	234
622	386	233
623	388	233
624	388	233
625	389	232
626	389	231
627	390	231
628	390	230
629	391	229
630	391	228
631	392	228
632	392	227
633	392	226
634	393	226
635	393	225
636	394	224
637	394	223
638	395	223
639	395	222
640	396	221
641	396	221
642	397	220
643	397	219
644	397	219
645	398	218
646	398	217
647	399	216
648	399	216
649	400	215
650	400	214
651	401	214
652	401	213
653	402	212
654	402	212
655	403	211
656	403	210
657	404	210
658	404	209
659	405	208
660	405	208
661	406	207
662	406	206
663	407	205
664	407	205
665	408	204
666	408	203
667	408	203
668	409	202
669	409	201
670	410	201
671	410	200
672	411	199
673	411	199
674	412	198
675	412	197
676	412	197
677	413	196
678	413	195
679	414	195
680	414	194
681	415	193
682	415	193
683	416	192
684	416	191
685	417	190
686	417	190
687	418	189
688	418	188
689	418	188
690	419	187
691	419	186
692	420	186
693	420	185
694	421	185
695	422	184
696	422	183
697	423	183
698	423	182
699	424	181
700	424	181
701	425	180
702	425	179
703	426	179
704	426	178
705	427	177
706	427	177
707	428	176
708	428	175
709	429	175
710	429	174
711	429	173
712	430	173
713	430	172
714	431	171
715	431	171
716	432	170
717	432	169
718	433	169
719	433	168
720	434	167
721	434	167
722	434	166
723	435	165
724	435	165
725	436	164
726	436	164
727	437	163
728	437	162
729	438	162
730	438	161
731	439	160
732	439	160
733	439	159
734	440	158
735	440	158
736	441	157
737	441	156
738	442	156
739	442	155
740	443	154
741	443	154
742	443	153
743	444	152
744	444	152
745	445	151
746	445	150
747	446	150
748	446	149
749	447	149
750	447	148
751	447	147
752	448	147
753	448	146
754	449	145
755	449	145
756	450	144
757	450	143
758	450	143
759	451	142
760	451	141
761	452	141
762	452	140
763	453	139
764	453	139
765	453	138
766	454	138
767	454	137
768	455	136
769	455	136
770	456	135
771	456	134
772	456	134
773	457	133
774	457	132
775	458	132
776	458	131
777	459	131
778	459	130
779	460	129
780	460	129
781	461	128
782	461	127
783	462	127
784	462	126
785	463	126
786	463	125
787	464	124
788	464	124
789	465	123
790	465	123
791	466	122
792	466	121
793	467	121
794	467	120
795	468	120
796	468	119
797	469	118
798	469	118
799	470	117
800	470	116
801	471	116
802	471	115
803	471	115
804	472	114
805	472	113
806	473	113
807	473	112
808	474	111
809	474	111
810	475	110
811	475	110
812	476	109
813	476	108
814	476	108
815	477	107
816	477	107
817	478	106
818	478	105
819	479	105
820	479	104
821	480	103
822	480	103
823	481	102
824	481	102
825	482	101
826	482	100
827	482	100
828	483	99
829	483	99
830	484	98
831	484	97
832	485	97
833	485	96
834	485	96
835	486	95
836	486	94
837	487	94
838	487	93
839	487	92
840	488	92
841	488	91
842	489	91
843	489	90
844	490	89
845	490	89
846	490	88
847	491	88
848	491	87
849	492	86
850	492	86
851	493	85
852	493	85
853	493	84
854	494	83
855	494	83
856	495	82
857	495	82
858	496	81
859	496	80
860	496	80
861	497	79
862	497	79
863	498	78
864	498	77
865	499	77
866	499	76
867	500	76
868	500	75
869	500	74
870	501	74
871	501	73
872	502	73
873	502	72
874	503	71
875	503	71
876	504	70
877	504	70
878	504	69
879	505	68
880	505	68
881	506	67
882	506	67
883	506	66
884	507	65
885	507	65
886	508	64
887	508	64
888	509	63
889	509	62
890	509	62
891	510	61
892	510	61
893	511	60
894	511	60
895	512	59
896	512	58
897	512	58
898	513	57
899	513	57
900	514	56
901	514	55
902	514	55
903	515	54
904	515	54
905	516	53
906	516	52
907	516	52
908	517	51
909	517	51
910	518	50
911	518	50
912	518	49
913	519	48
914	520	48
915	520	47
916	521	47
917	521	46
918	521	46
919	522	45
920	522	44
921	523	44
922	523	43
923	524	43
924	524	42
925	525	41
926	526	41
927	526	40
928	527	40
929	527	39
930	528	39
931	528	38
932	529	37
933	529	37
934	529	36
935	530	36
936	530	35
937	531	35
938	531	34
939	531	33
940	532	33
941	532	32
942	533	32
943	533	31
944	534	31
945	534	30
946	534	29
947	535	29
948	535	28
949	536	28
950	536	27
951	536	27
952	537	26
953	537	25
954	538	25
955	538	24
956	538	24
957	539	23
958	539	23
959	540	22
960	540	21
961	541	21
962	541	20
963	541	20
964	542	19
965	542	19
966	543	18
967	543	17
968	543	17
969	544	16
970	544	16
971	545	15
972	545	15
973	545	14
974	546	14
975	546	13
976	547	12
977	547	12
978	548	11
979	548	11
980	548	10
981	549	10
982	549	9
983	550	8
984	550	8
985	550	7
986	551	7
987	551	6
988	552	6
989	552	5
990	552	5
991	553	4
992	553	3
993	554	3
994	554	2
995	554	2
996	555	1
997	555	1
998	556	0
999	556	0
